Year,Make,Model,Trims
2000,Acura,Integra,GS
2000,Acura,Integra,GS Coupe FWD
2000,Acura,Integra,GS Sedan FWD
2000,Acura,Integra,GS-R
2000,Acura,Integra,GS-R Coupe FWD
2000,Acura,Integra,GS-R Sedan FWD
2000,Acura,Integra,LS
2000,Acura,Integra,LS Coupe FWD
2000,Acura,Integra,LS Sedan FWD
2000,Acura,Integra,Type R
2000,Acura,Integra,Type R Coupe FWD
2000,Acura,NSX,Base
2000,Acura,NSX,RWD
2000,Acura,NSX,T
2000,Acura,NSX,T RWD
2000,Acura,RL,3.5
2000,Acura,RL,3.5 FWD
2000,Acura,TL,3.2
2000,Acura,TL,3.2 FWD
2000,Alfa Romeo,145,
2000,Alfa Romeo,146,
2000,Alfa Romeo,147,
2000,Alfa Romeo,156,
2000,Alfa Romeo,166,
2000,Am General,Hummer,2-Door AWD
2000,Am General,Hummer,4-Door Hard Top AWD
2000,Am General,Hummer,4-Door Open Top AWD
2000,Am General,Hummer,4-Door Slantback AWD
2000,Am General,Hummer,4-Door Wagon AWD
2000,Am General,Hummer,Hard Top
2000,Am General,Hummer,Hard Top Enlarged Cab
2000,Am General,Hummer,Open Top Hard Doors
2000,Am General,Hummer,Slantback
2000,Am General,Hummer,Wagon
2000,Aston Martin,DB7,Base
2000,Aston Martin,DB7,Vantage Coupe RWD
2000,Aston Martin,DB7,Vantage Volante Convertible RWD
2000,Aston Martin,DB7 Vantage,Base
2000,Aston Martin,DB7 Vantage,Volante
2000,Aston Martin,Vantage,Base
2000,Aston Martin,Virage,V8 Coupe RWD
2000,Aston Martin,Virage,V8 Volante LWB Convertible RWD
2000,Audi,A4,1.8T
2000,Audi,A4,1.8T Avant quattro
2000,Audi,A4,1.8T quattro
2000,Audi,A4,1.8T quattro Sedan AWD
2000,Audi,A4,1.8T Sedan FWD
2000,Audi,A4,2.8
2000,Audi,A4,2.8 Avant quattro
2000,Audi,A4,2.8 quattro
2000,Audi,A4,2.8 quattro Sedan AWD
2000,Audi,A4,2.8 Sedan FWD
2000,Audi,A4 Avant,1.8T quattro AWD
2000,Audi,A4 Avant,2.8 quattro AWD
2000,Audi,A6,2.7T quattro
2000,Audi,A6,2.7T quattro Sedan AWD
2000,Audi,A6,2.8
2000,Audi,A6,2.8 Avant quattro
2000,Audi,A6,2.8 quattro
2000,Audi,A6,2.8 quattro Avant Wagon AWD
2000,Audi,A6,2.8 quattro Sedan AWD
2000,Audi,A6,2.8 Sedan FWD
2000,Audi,A6,4.2 quattro
2000,Audi,A6,4.2 quattro Sedan AWD
2000,Audi,A6,Avant quattro
2000,Audi,A6,Base
2000,Audi,A8,4.2 quattro
2000,Audi,A8,4.2 quattro L
2000,Audi,A8,L quattro AWD
2000,Audi,A8,quattro AWD
2000,Audi,S4,AWD
2000,Audi,S4,Base
2000,Audi,S4,quattro
2000,Audi,S4,quattro Sedan AWD
2000,Audi,TT,1.8T Coupe FWD
2000,Audi,TT,1.8T quattro Coupe AWD
2000,Audi,TT,Base
2000,Audi,TT,quattro
2000,Avanti Motors,Avanti,Base
2000,Bentley,Arnage,Base
2000,Bentley,Arnage,Green Label
2000,Bentley,Arnage,Red Label
2000,Bentley,Arnage,Red Label RWD
2000,Bentley,Azure,Base
2000,Bentley,Azure,Mulliner
2000,Bentley,Azure,Mulliner RWD
2000,Bentley,Azure,RWD
2000,Bentley,Continental,Base
